"SEARCHVAL","BLK_NO","ROAD_NAME","BUILDING","ADDRESS","POSTAL","X","Y","LATITUDE","LONGITUDE","LONGTITUDE"
"ADMIRALTY PRIMARY SCHOOL","11","WOODLANDS CIRCLE","ADMIRALTY PRIMARY SCHOOL","11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907","738907","24296.6250855932","47144.7700594757","1.44263479033113","103.800040119743","103.800040119743"
"AHMAD IBRAHIM PRIMARY SCHOOL","10","YISHUN STREET 11","AHMAD IBRAHIM PRIMARY SCHOOL","10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643","768643","27958.1371433483","46096.2627680507","1.4331527154352","103.832942401086","103.832942401086"
"AI TONG SCHOOL","100","BRIGHT HILL DRIVE","AI TONG SCHOOL","100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646","579646","27966.8088298794","38071.9191181604","1.36058343389044","103.833020333986","103.833020333986"
"ALEXANDRA PRIMARY SCHOOL","2A","PRINCE CHARLES CRESCENT","ALEXANDRA PRIMARY SCHOOL","2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016","159016","27010.1854815334","30414.7169698291","1.29133439161336","103.824424680531","103.824424680531"
"ANCHOR GREEN PRIMARY SCHOOL","31","ANCHORVALE DRIVE","ANCHOR GREEN PRIMARY SCHOOL","31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969","544969","33992.4459471302","41365.6508988272","1.39037014886962","103.887165375937","103.887165375937"
"ANDERSON PRIMARY SCHOOL","19","ANG MO KIO AVENUE 9","ANDERSON PRIMARY SCHOOL","19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785","569785","28898.477648247","40690.4297215324","1.38426429436739","103.841392081119","103.841392081119"
"ANG MO KIO PRIMARY SCHOOL","20","ANG MO KIO AVENUE 3","ANG MO KIO PRIMARY SCHOOL","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","569920","28702.480467556","39038.1602696721","1.3693217658461","103.839630858752","103.839630858752"
"ANGLO-CHINESE SCHOOL (JUNIOR)","16","WINSTEDT ROAD","ANGLO-CHINESE SCHOOL (JUNIOR)","16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988","227988","28849.8721698103","32406.925238777","1.30935122599558","103.840955091346","103.840955091346"
"ANGLO-CHINESE SCHOOL (PRIMARY)","50","BARKER ROAD","ANGLO-CHINESE SCHOOL (PRIMARY)","50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918","309918","28254.9829174643","33404.234054137","1.31837054550897","103.835609732082","103.835609732082"
"ANGSANA PRIMARY SCHOOL","3","TAMPINES STREET 22","ANGSANA PRIMARY SCHOOL","3 TAMPINES STREET 22 ANGSANA PRIMARY SCHOOL SINGAPORE 529366","529366","41186.5743382685","36742.7219521441","1.34855974654082","103.951808106156","103.951808106156"
"BEACON PRIMARY SCHOOL","36","BUKIT PANJANG RING ROAD","BEACON PRIMARY SCHOOL","36 BUKIT PANJANG RING ROAD BEACON PRIMARY SCHOOL SINGAPORE 679944","679944","21357.6378878588","40655.6862834729","1.38394934487102","103.77363194111","103.77363194111"
"BEDOK GREEN PRIMARY SCHOOL","1","BEDOK SOUTH AVENUE 2","BEDOK GREEN PRIMARY SCHOOL","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","469317","39636.5324891722","33965.689382473","1.32344593287994","103.937878976352","103.937878976352"
"BENDEMEER PRIMARY SCHOOL","91","BENDEMEER ROAD","BENDEMEER PRIMARY SCHOOL","91 BENDEMEER ROAD BENDEMEER PRIMARY SCHOOL SINGAPORE 339948","339948","31570.8074810542","33784.8514976744","1.32181250780476","103.865404167629","103.865404167629"
"BLANGAH RISE PRIMARY SCHOOL","91","TELOK BLANGAH HEIGHTS","BLANGAH RISE PRIMARY SCHOOL","91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100","109100","25252.1939881919","28732.4525514655","1.27612047869293","103.808628536055","103.808628536055"
"BOON LAY GARDEN PRIMARY SCHOOL","20","BOON LAY DRIVE","BOON LAY GARDEN PRIMARY SCHOOL","20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930","649930","14641.102775434","36147.7026988063","1.34317853793319","103.713280889452","103.713280889452"
"BUKIT PANJANG PRIMARY SCHOOL","109","CASHEW ROAD","BUKIT PANJANG PRIMARY SCHOOL","109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676","679676","20883.8530479278","39513.7297099233","1.37362179302439","103.769374904025","103.769374904025"
"BUKIT TIMAH PRIMARY SCHOOL","111","LORONG KISMIS","BUKIT TIMAH PRIMARY SCHOOL","111 LORONG KISMIS BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112","598112","20646.5238155555","35521.62664783","1.33751860013149","103.767243310781","103.767243310781"
"BUKIT VIEW PRIMARY SCHOOL","18","BUKIT BATOK STREET 21","BUKIT VIEW PRIMARY SCHOOL","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","659634","19135.5408017598","36444.0823762417","1.34586054842037","103.753665986188","103.753665986188"
"CANBERRA PRIMARY SCHOOL","21","ADMIRALTY DRIVE","CANBERRA PRIMARY SCHOOL","21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714","757714","26054.8552722549","48103.4229366668","1.45130467584564","103.815839476605","103.815839476605"
"CANTONMENT PRIMARY SCHOOL","1","CANTONMENT CLOSE","CANTONMENT PRIMARY SCHOOL","1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256","088256","28739.4305021623","28660.7930697463","1.27547252623205","103.839962631748","103.839962631748"
"CANOSSA CONVENT PRIMARY SCHOOL","1","SALLIM ROAD","CANOSSA CONVENT PRIMARY SCHOOL","1 SALLIM ROAD CANOSSA CONVENT PRIMARY SCHOOL SINGAPORE 387621","387621","33440.1470168158","34279.7409919333","1.3262878362503","103.882201253526","103.882201253526"
"CASUARINA PRIMARY SCHOOL","30","PASIR RIS STREET 41","CASUARINA PRIMARY SCHOOL","30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935","518935","41766.4977979418","39385.5958912373","1.37246063955374","103.957020286387","103.957020286387"
"CATHOLIC HIGH SCHOOL","9","BISHAN STREET 22","CATHOLIC HIGH SCHOOL","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","579767","29286.0617525252","37423.9135497641","1.35472307471664","103.844874676599","103.844874676599"
"CEDAR PRIMARY SCHOOL","15","CEDAR AVENUE","CEDAR PRIMARY SCHOOL","15 CEDAR AVENUE CEDAR PRIMARY SCHOOL SINGAPORE 349700","349700","32707.7902984489","35308.1392943561","1.33558842561171","103.875620790518","103.875620790518"
"CHANGKAT PRIMARY SCHOOL","11","SIMEI STREET 3","CHANGKAT PRIMARY SCHOOL","11 SIMEI STREET 3 CHANGKAT PRIMARY SCHOOL SINGAPORE 529896","529896","41216.8906296883","35821.8419446964","1.34023163951634","103.952080114035","103.952080114035"
"CHIJ (KATONG) PRIMARY","17","MARTIA ROAD","CHIJ (KATONG) PRIMARY","17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821","424821","36656.9804726075","32090.1643723622","1.30648535277089","103.911105620496","103.911105620496"
"CHIJ (KELLOCK)","121","QUEENSWAY","CHIJ (KELLOCK)","121 QUEENSWAY CHIJ (KELLOCK) SINGAPORE 149059","149059","24321.3921962176","31599.7069281563","1.30205082145356","103.800264607379","103.800264607379"
"CHIJ OUR LADY OF GOOD COUNSEL","2C","BURGHLEY DRIVE","CHIJ OUR LADY OF GOOD COUNSEL","2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979","558979","31415.5340866447","37723.197379699","1.3574295229699","103.864009397373","103.864009397373"
"CHIJ OUR LADY OF THE NATIVITY","1257","UPPER SERANGOON ROAD","CHIJ OUR LADY OF THE NATIVITY","1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793","534793","35152.2810922312","39477.7654127423","1.37329653701214","103.897586935857","103.897586935857"
"CHIJ OUR LADY QUEEN OF PEACE","4","CHESTNUT DRIVE","CHIJ OUR LADY QUEEN OF PEACE","4 CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679287","679287","20665.4072236288","38737.7066427022","1.36660366856101","103.767412204602","103.767412204602"
"CHIJ PRIMARY (TOA PAYOH)","628","LORONG 1 TOA PAYOH","CHIJ PRIMARY (TOA PAYOH)","628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765","319765","28949.1537291817","34994.5345916767","1.33275264711591","103.841847263786","103.841847263786"
"CHIJ SAINT NICHOLAS GIRLS' SCHOOL","501","ANG MO KIO STREET 13","CHIJ SAINT NICHOLAS GIRLS' SCHOOL","501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405","569405","28104.0195931308","39497.6106162667","1.37347687878919","103.834253269436","103.834253269436"
"CHONGFU%20PRIMARY%20SCHOOL",,,,,,,,,,
"CHONGZHENG PRIMARY SCHOOL","1","TAMPINES STREET 21","CHONGZHENG PRIMARY SCHOOL","1 TAMPINES STREET 21 CHONGZHENG PRIMARY SCHOOL SINGAPORE 529392","529392","41141.0940594189","36980.1959562823","1.35070739237745","103.951399541868","103.951399541868"
"CHUA CHU KANG PRIMARY SCHOOL","20","CHOA CHU KANG AVENUE 2","CHUA CHU KANG PRIMARY SCHOOL","20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905","689905","17810.5888717994","39961.9454587325","1.37767438647328","103.741759290853","103.741759290853"
"CLEMENTI PRIMARY SCHOOL","8","CLEMENTI AVENUE 3","CLEMENTI PRIMARY SCHOOL","8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903","129903","20170.508104153","33037.9834906776","1.3150573077302","103.76296666874","103.76296666874"
"COMPASSVALE PRIMARY SCHOOL","21","COMPASSVALE STREET","COMPASSVALE PRIMARY SCHOOL","21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091","545091","35177.2900137771","41816.2900234852","1.39444529636568","103.897812229905","103.897812229905"
"CONCORD PRIMARY SCHOOL","3","CHOA CHU KANG AVENUE 4","CONCORD PRIMARY SCHOOL","3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814","689814","17194.7500582747","40220.0161901638","1.38000806197243","103.736225440727","103.736225440727"
"CORPORATION PRIMARY SCHOOL","31","JURONG WEST STREET 24","CORPORATION PRIMARY SCHOOL","31 JURONG WEST STREET 24 CORPORATION PRIMARY SCHOOL SINGAPORE 648347","648347","14008.2264165552","37012.2807454541","1.35099716777266","103.707593724647","103.707593724647"
